user_name,tweet_id,user_id,text,location,creation_time,favorite_count,retweet_count,followers_count,media_url,language
JoolesAdams,1268362538825195520,1289139078,RT @larryelder: How many unarmed blacks were shot and killed by cops last year? 9. How many unarmed whites were shot and killed by cops las…,"Charlotte, NC",2020-06-04 02:02:48,0,2635,406,,en
yusrahas,1268362536610562050,444306869,RT @firelorddany: #BlueLivesMatters is trending so lemme remind u that this is the only blue life that matters https://t.co/8GWXrXYfiL,,2020-06-04 02:02:48,0,663,1366,"http://pbs.twimg.com/media/EZnP6jxWoAknw8O.jpg
http://pbs.twimg.com/media/EZnP6riXkAwLaPH.jpg
http://pbs.twimg.com/media/EZnP60QWkAAka_U.jpg
http://pbs.twimg.com/media/EZnP6-zX0AETGaa.jpg",en
liltaefairy,1268362536031666177,1181002907824488448,RT @staryskycosplay: Yall are forgetting about the most important blue life #BlueLivesMatters https://t.co/oWNVthRu4T,bts world,2020-06-04 02:02:48,0,1151,1295,"http://pbs.twimg.com/media/EZnrTjiU8AAYelx.jpg
http://pbs.twimg.com/media/EZnrTjiVAAElG4V.jpg",en
Michael04616332,1268362535583068161,1066721220928987136,RT @bigricanman: Rest In Peace Sgt Stephen Williams of the City of Moody PD who was shot &amp; killed in the line of duty on 6/2/20 while respo…,"Stuart, FL",2020-06-04 02:02:48,0,2646,74,,en
PamelaKruse4,1268362532454117376,4161793753,"RT @LifeNewsHQ: Killing babies in abortions is wrong.

Killing George Floyd was wrong.

Killing police officers is wrong.

Let's respect AL…","Corruption, USA",2020-06-04 02:02:47,0,607,16129,,en
AwkwardSaint,1268362532437340162,4895722213,"RT @Conserv32510914: For days now you’ve wanted us to say his name...to say #GeorgeFlyod 

We challenge you to say #DavidDorn and acknowled…","Indiana, USA",2020-06-04 02:02:47,0,1,89,,en
tourwithmariel,1268362531136958464,3153270672,RT @larryelder: How many unarmed blacks were shot and killed by cops last year? 9. How many unarmed whites were shot and killed by cops las…,"Littleton, CO",2020-06-04 02:02:47,0,2635,560,,en
Beargrizz12,1268362531078356995,1174736437423616002,RT @ulovepaulina: y’all please look at the #whitelivesmatter hashtag,Chicago,2020-06-04 02:02:47,0,2,50,,en
mdfoster11,1268362531015290882,190790599,The bluefin tuna has seen it's population reduced to the point of being an endangered species. We must end this pra… https://t.co/cdUrE0NeQp,British Columbia Canada,2020-06-04 02:02:47,0,0,1373,,en
metaIqueersoIid,1268362530331607040,1009887667637477376,RT @MantisHeart: WHITE PEOPLE i am offering $12 chart readings as a distraction during these troubling times! venmo: pandoraeternal💛😸 #maga…,"Sacramento, CA",2020-06-04 02:02:46,0,7,202,,en
ErlyneLee,1268362529329184768,1036322305079570432,RT @bigricanman: Rest In Peace Sgt Stephen Williams of the City of Moody PD who was shot &amp; killed in the line of duty on 6/2/20 while respo…,,2020-06-04 02:02:46,0,2646,2,,en
Lahdabeballin,1268362526103928838,220066169,If you hollering #AllLivesMatter please unfollow me ✊🏽✊🏾✊🏿✊🏼 #BlueLivesMatters,NY GLTTTTT,2020-06-04 02:02:45,0,0,2497,,en
Nick85225297,1268362525386686464,1144315438018498560,#BlueLivesMatters? Blue lives don't exist. Black Lives Matter is about accountability. Everybody who kills a cop is… https://t.co/4QOvyOGPKz,,2020-06-04 02:02:45,2,0,10,,en
ayenani3nani,1268362524208123906,1031997728723742721,RT @staryskycosplay: Yall are forgetting about the most important blue life #BlueLivesMatters https://t.co/oWNVthRu4T,"Atlanta, GA📌",2020-06-04 02:02:45,0,1151,11,"http://pbs.twimg.com/media/EZnrTjiU8AAYelx.jpg
http://pbs.twimg.com/media/EZnrTjiVAAElG4V.jpg",en
Ligets0u812,1268362523679641602,891292181000007682,RT @larryelder: How many unarmed blacks were shot and killed by cops last year? 9. How many unarmed whites were shot and killed by cops las…,,2020-06-04 02:02:45,0,2635,1732,,en
liltaefairy,1268362521733263360,1181002907824488448,RT @joonallnight: can’t believe they made a # just for blue hair tae 👏🏼🥰 #BlueLivesMatters https://t.co/uLVZvI9aoh,bts world,2020-06-04 02:02:44,0,520,1295,"http://pbs.twimg.com/media/EZntVLoXsAAnLzk.jpg
http://pbs.twimg.com/media/EZntVLwWsAAShW2.jpg
http://pbs.twimg.com/media/EZntVLpWAAA9amQ.jpg
http://pbs.twimg.com/media/EZntVLqWkAE-iGQ.jpg",en
BiancaSchnare,1268362521041416192,705440661483495424,RT @larryelder: How many unarmed blacks were shot and killed by cops last year? 9. How many unarmed whites were shot and killed by cops las…,,2020-06-04 02:02:44,0,2635,347,,en
SShrekislife,1268362519674064897,874239553808281603,"Racist assholes 🤡
#BlueLivesMatter https://t.co/X3oWSXPN2j",Ireland,2020-06-04 02:02:44,0,0,3,http://pbs.twimg.com/media/EZog_GfWsAIcGzm.jpg,en
nikifancy1,1268362518180900864,1264814681048453120,RT @BuzzFeed: K-Pop Fans Are Flooding The #WhiteLivesMatter Hashtag With Fancams To Drown Out All The Racist Tweets https://t.co/pScugROXmt,,2020-06-04 02:02:44,0,634,2,,en
QueenofProcras1,1268362517065035776,1214462573845696513,RT @MinAnnette2: I was about to throw hands I was like why the fuck is this trending then I saw why haha😂😂😂 #WhiteLivesMatter https://t.co/…,,2020-06-04 02:02:43,0,16,3,,en
